x_position/Potential,0,1,2,3,4,
0.498998,0.068351,0.068600,0.065868,0.065647,0.067828,
0.501002,0.068441,0.068506,0.065817,0.065719,0.067822,
0.503006,0.068526,0.068408,0.065761,0.065787,0.067811,
0.505010,0.068607,0.068304,0.065701,0.065851,0.067793,
0.507014,0.068682,0.068196,0.065636,0.065910,0.067770,
0.509018,0.068752,0.068083,0.065568,0.065966,0.067741,
0.511022,0.068818,0.067965,0.065496,0.066017,0.067706,
0.513026,0.068878,0.067842,0.065419,0.066064,0.067665,
0.515030,0.068932,0.067715,0.065339,0.066107,0.067618,
0.517034,0.068982,0.067583,0.065255,0.066146,0.067565,
0.519038,0.069026,0.067446,0.065167,0.066180,0.067506,
0.521042,0.069064,0.067306,0.065076,0.066209,0.067441,
0.523046,0.069098,0.067160,0.064982,0.066235,0.067370,
0.525050,0.069125,0.067011,0.064884,0.066255,0.067294,
0.527054,0.069148,0.066857,0.064782,0.066271,0.067211,
0.529058,0.069164,0.066699,0.064678,0.066283,0.067123,
0.531062,0.069176,0.066537,0.064570,0.066289,0.067030,
0.533066,0.069181,0.066371,0.064459,0.066291,0.066931,
0.535070,0.069181,0.066202,0.064345,0.066289,0.066826,
0.537074,0.069175,0.066028,0.064229,0.066282,0.066716,
0.539078,0.069163,0.065850,0.064110,0.066270,0.066601,
0.541082,0.069146,0.065669,0.063987,0.066253,0.066481,
0.543086,0.069123,0.065485,0.063863,0.066231,0.066356,
0.545090,0.069094,0.065296,0.063735,0.066205,0.066226,
0.547094,0.069059,0.065105,0.063605,0.066174,0.066091,
0.549098,0.069018,0.064909,0.063473,0.066138,0.065952,
0.551102,0.068972,0.064711,0.063338,0.066098,0.065808,
0.553106,0.068920,0.064509,0.063201,0.066053,0.065660,
0.555110,0.068861,0.064305,0.063062,0.066003,0.065508,
0.557114,0.068797,0.064097,0.062920,0.065949,0.065351,
0.559118,0.068727,0.063886,0.062776,0.065890,0.065191,
0.561122,0.068651,0.063672,0.062630,0.065826,0.065027,
0.563126,0.068569,0.063455,0.062482,0.065758,0.064859,
0.565130,0.068482,0.063236,0.062332,0.065685,0.064687,
0.567134,0.068388,0.063014,0.062180,0.065608,0.064513,
0.569138,0.068289,0.062789,0.062026,0.065526,0.064334,
0.571142,0.068183,0.062562,0.061870,0.065440,0.064153,
0.573146,0.068072,0.062332,0.061712,0.065350,0.063969,
0.575150,0.067956,0.062099,0.061552,0.065255,0.063781,
0.577154,0.067833,0.061864,0.061390,0.065155,0.063591,
0.579158,0.067705,0.061627,0.061226,0.065052,0.063398,
0.581162,0.067571,0.061388,0.061061,0.064944,0.063202,
0.583166,0.067431,0.061147,0.060893,0.064833,0.063004,
0.585170,0.067286,0.060903,0.060724,0.064717,0.062803,
0.587174,0.067136,0.060657,0.060553,0.064597,0.062599,
0.589178,0.066980,0.060410,0.060381,0.064473,0.062394,
0.591182,0.066819,0.060160,0.060206,0.064345,0.062186,
0.593186,0.066652,0.059909,0.060030,0.064213,0.061975,
0.595190,0.066480,0.059655,0.059852,0.064078,0.061763,
0.597194,0.066303,0.059400,0.059673,0.063938,0.061548,
0.599198,0.066121,0.059144,0.059492,0.063795,0.061332,
0.601202,0.065934,0.058885,0.059309,0.063648,0.061113,
0.603206,0.065742,0.058625,0.059124,0.063498,0.060893,
0.605210,0.065545,0.058364,0.058938,0.063344,0.060671,
0.607214,0.065343,0.058101,0.058751,0.063186,0.060447,
0.609218,0.065137,0.057836,0.058561,0.063025,0.060221,
0.611222,0.064926,0.057570,0.058370,0.062861,0.059993,
0.613226,0.064711,0.057303,0.058178,0.062693,0.059764,
0.615230,0.064491,0.057035,0.057983,0.062522,0.059532,
0.617234,0.064267,0.056765,0.057788,0.062347,0.059300,
0.619238,0.064039,0.056494,0.057590,0.062169,0.059065,
0.621242,0.063807,0.056222,0.057391,0.061988,0.058830,
0.623246,0.063571,0.055949,0.057191,0.061804,0.058592,
0.625251,0.063331,0.055674,0.056989,0.061617,0.058353,
0.627255,0.063087,0.055399,0.056785,0.061427,0.058113,
0.629259,0.062840,0.055122,0.056580,0.061234,0.057871,
0.631263,0.062589,0.054845,0.056374,0.061037,0.057628,
0.633267,0.062334,0.054567,0.056165,0.060838,0.057383,
0.635271,0.062077,0.054288,0.055956,0.060636,0.057137,
0.637275,0.061816,0.054008,0.055745,0.060431,0.056890,
0.639279,0.061551,0.053727,0.055532,0.060224,0.056641,
0.641283,0.061284,0.053445,0.055318,0.060013,0.056391,
0.643287,0.061014,0.053163,0.055102,0.059800,0.056140,
0.645291,0.060741,0.052880,0.054885,0.059585,0.055887,
0.647295,0.060465,0.052596,0.054667,0.059366,0.055634,
0.649299,0.060186,0.052311,0.054447,0.059145,0.055379,
0.651303,0.059905,0.052026,0.054225,0.058921,0.055122,
0.653307,0.059621,0.051740,0.054002,0.058695,0.054865,
0.655311,0.059335,0.051454,0.053778,0.058467,0.054607,
0.657315,0.059046,0.051167,0.053552,0.058236,0.054347,
0.659319,0.058755,0.050880,0.053325,0.058002,0.054086,
0.661323,0.058462,0.050592,0.053097,0.057767,0.053824,
0.663327,0.058167,0.050303,0.052867,0.057528,0.053561,
0.665331,0.057870,0.050014,0.052635,0.057288,0.053297,
0.667335,0.057570,0.049725,0.052402,0.057045,0.053032,
0.669339,0.057269,0.049435,0.052168,0.056800,0.052766,
0.671343,0.056966,0.049145,0.051933,0.056553,0.052499,
0.673347,0.056661,0.048854,0.051696,0.056304,0.052231,
0.675351,0.056355,0.048563,0.051457,0.056052,0.051962,
0.677355,0.056046,0.048272,0.051218,0.055799,0.051692,
0.679359,0.055737,0.047980,0.050977,0.055543,0.051420,
0.681363,0.055425,0.047688,0.050735,0.055286,0.051148,
0.683367,0.055112,0.047396,0.050491,0.055026,0.050875,
0.685371,0.054798,0.047103,0.050246,0.054764,0.050601,
0.687375,0.054482,0.046810,0.050000,0.054501,0.050326,
0.689379,0.054165,0.046517,0.049752,0.054235,0.050050,
0.691383,0.053847,0.046223,0.049503,0.053968,0.049774,
0.693387,0.053527,0.045929,0.049253,0.053699,0.049496,
0.695391,0.053206,0.045636,0.049001,0.053427,0.049217,
0.697395,0.052884,0.045341,0.048748,0.053155,0.048938,
0.699399,0.052561,0.045047,0.048494,0.052880,0.048658,
0.701403,0.052237,0.044752,0.048239,0.052604,0.048377,
0.703407,0.051911,0.044458,0.047982,0.052325,0.048095,
0.705411,0.051585,0.044163,0.047725,0.052046,0.047812,
0.707415,0.051258,0.043867,0.047465,0.051764,0.047528,
0.709419,0.050929,0.043572,0.047205,0.051481,0.047243,
0.711423,0.050600,0.043277,0.046943,0.051196,0.046958,
0.713427,0.050270,0.042981,0.046681,0.050910,0.046672,
0.715431,0.049939,0.042685,0.046417,0.050622,0.046385,
0.717435,0.049608,0.042389,0.046151,0.050332,0.046097,
0.719439,0.049275,0.042093,0.045885,0.050041,0.045809,
0.721443,0.048942,0.041797,0.045617,0.049749,0.045520,
0.723447,0.048608,0.041501,0.045348,0.049455,0.045230,
0.725451,0.048273,0.041205,0.045078,0.049159,0.044939,
0.727455,0.047938,0.040908,0.044807,0.048862,0.044647,
0.729459,0.047602,0.040612,0.044534,0.048564,0.044355,
0.731463,0.047265,0.040315,0.044261,0.048264,0.044062,
0.733467,0.046928,0.040018,0.043986,0.047963,0.043768,
0.735471,0.046590,0.039721,0.043710,0.047660,0.043473,
0.737475,0.046252,0.039424,0.043433,0.047357,0.043178,
0.739479,0.045913,0.039127,0.043155,0.047051,0.042882,
0.741483,0.045574,0.038830,0.042876,0.046745,0.042585,
0.743487,0.045234,0.038533,0.042595,0.046437,0.042288,
0.745491,0.044893,0.038236,0.042314,0.046128,0.041990,
0.747495,0.044552,0.037939,0.042031,0.045818,0.041691,
0.749499,0.044211,0.037641,0.041748,0.045506,0.041392,
0.751503,0.043869,0.037344,0.041463,0.045193,0.041092,
0.753507,0.043527,0.037046,0.041177,0.044879,0.040791,
0.755511,0.043184,0.036749,0.040890,0.044564,0.040489,
0.757515,0.042841,0.036451,0.040602,0.044247,0.040187,
0.759519,0.042497,0.036154,0.040313,0.043930,0.039884,
0.761523,0.042154,0.035856,0.040023,0.043611,0.039581,
0.763527,0.041810,0.035558,0.039731,0.043291,0.039277,
0.765531,0.041465,0.035260,0.039439,0.042970,0.038972,
0.767535,0.041120,0.034963,0.039146,0.042648,0.038666,
0.769539,0.040775,0.034665,0.038852,0.042324,0.038360,
0.771543,0.040430,0.034367,0.038556,0.042000,0.038054,
0.773547,0.040084,0.034069,0.038260,0.041674,0.037747,
0.775551,0.039738,0.033771,0.037963,0.041348,0.037439,
0.777555,0.039392,0.033473,0.037664,0.041020,0.037130,
0.779559,0.039045,0.033175,0.037365,0.040692,0.036821,
0.781563,0.038699,0.032877,0.037065,0.040362,0.036511,
0.783567,0.038352,0.032579,0.036764,0.040031,0.036201,
0.785571,0.038005,0.032281,0.036462,0.039700,0.035890,
0.787575,0.037657,0.031983,0.036158,0.039367,0.035579,
0.789579,0.037310,0.031684,0.035854,0.039033,0.035267,
0.791583,0.036962,0.031386,0.035549,0.038699,0.034954,
0.793587,0.036614,0.031088,0.035243,0.038363,0.034641,
0.795591,0.036266,0.030790,0.034937,0.038026,0.034327,
0.797595,0.035917,0.030491,0.034629,0.037689,0.034013,
0.799599,0.035569,0.030193,0.034320,0.037350,0.033698,
0.801603,0.035220,0.029895,0.034011,0.037011,0.033383,
0.803607,0.034871,0.029597,0.033700,0.036671,0.033067,
0.805611,0.034522,0.029298,0.033389,0.036330,0.032750,
0.807615,0.034173,0.029000,0.033077,0.035988,0.032433,
0.809619,0.033823,0.028701,0.032764,0.035645,0.032116,
0.811623,0.033474,0.028403,0.032450,0.035301,0.031798,
0.813627,0.033124,0.028104,0.032135,0.034956,0.031479,
0.815631,0.032775,0.027806,0.031819,0.034611,0.031160,
0.817635,0.032425,0.027508,0.031503,0.034264,0.030841,
0.819639,0.032075,0.027209,0.031186,0.033917,0.030521,
0.821643,0.031725,0.026911,0.030867,0.033569,0.030200,
0.823647,0.031375,0.026612,0.030549,0.033220,0.029879,
0.825651,0.031024,0.026313,0.030229,0.032870,0.029557,
0.827655,0.030674,0.026015,0.029908,0.032520,0.029235,
0.829659,0.030323,0.025716,0.029587,0.032169,0.028913,
0.831663,0.029973,0.025418,0.029265,0.031817,0.028590,
0.833667,0.029622,0.025119,0.028942,0.031464,0.028267,
0.835671,0.029271,0.024820,0.028619,0.031110,0.027943,
0.837675,0.028920,0.024522,0.028295,0.030756,0.027618,
0.839679,0.028569,0.024223,0.027970,0.030401,0.027294,
0.841683,0.028218,0.023924,0.027644,0.030045,0.026968,
0.843687,0.027867,0.023626,0.027317,0.029689,0.026643,
0.845691,0.027516,0.023327,0.026990,0.029331,0.026317,
0.847695,0.027165,0.023028,0.026662,0.028974,0.025990,
0.849699,0.026814,0.022730,0.026334,0.028615,0.025663,
0.851703,0.026462,0.022431,0.026005,0.028256,0.025336,
0.853707,0.026111,0.022132,0.025675,0.027896,0.025008,
0.855711,0.025759,0.021833,0.025344,0.027535,0.024680,
0.857715,0.025408,0.021534,0.025013,0.027174,0.024352,
0.859719,0.025056,0.021236,0.024681,0.026812,0.024023,
0.861723,0.024704,0.020937,0.024348,0.026449,0.023693,
0.863727,0.024352,0.020638,0.024015,0.026086,0.023364,
0.865731,0.024001,0.020339,0.023681,0.025722,0.023034,
0.867735,0.023649,0.020040,0.023347,0.025357,0.022703,
0.869739,0.023297,0.019741,0.023012,0.024992,0.022372,
0.871743,0.022945,0.019443,0.022676,0.024627,0.022041,
0.873747,0.022593,0.019144,0.022340,0.024260,0.021710,
0.875752,0.022241,0.018845,0.022003,0.023893,0.021378,
0.877756,0.021888,0.018546,0.021666,0.023526,0.021046,
0.879760,0.021536,0.018247,0.021328,0.023158,0.020713,
0.881764,0.021184,0.017948,0.020989,0.022789,0.020380,
0.883768,0.020832,0.017649,0.020650,0.022420,0.020047,
0.885772,0.020479,0.017350,0.020310,0.022051,0.019713,
0.887776,0.020127,0.017051,0.019970,0.021680,0.019379,
0.889780,0.019775,0.016752,0.019630,0.021310,0.019045,
0.891784,0.019422,0.016453,0.019288,0.020938,0.018711,
0.893788,0.019070,0.016154,0.018947,0.020567,0.018376,
0.895792,0.018717,0.015855,0.018605,0.020195,0.018041,
0.897796,0.018365,0.015556,0.018262,0.019822,0.017706,
0.899800,0.018012,0.015257,0.017919,0.019449,0.017370,
0.901804,0.017659,0.014958,0.017575,0.019075,0.017034,
0.903808,0.017307,0.014659,0.017231,0.018701,0.016698,
0.905812,0.016954,0.014360,0.016887,0.018326,0.016361,
0.907816,0.016601,0.014061,0.016542,0.017951,0.016024,
0.909820,0.016249,0.013762,0.016196,0.017576,0.015687,
0.911824,0.015896,0.013463,0.015850,0.017200,0.015350,
0.913828,0.015543,0.013164,0.015504,0.016824,0.015013,
0.915832,0.015190,0.012865,0.015158,0.016447,0.014675,
0.917836,0.014837,0.012566,0.014811,0.016070,0.014337,
0.919840,0.014484,0.012267,0.014463,0.015693,0.013999,
0.921844,0.014131,0.011968,0.014115,0.015315,0.013660,
0.923848,0.013778,0.011669,0.013767,0.014937,0.013322,
0.925852,0.013425,0.011369,0.013419,0.014558,0.012983,
0.927856,0.013072,0.011070,0.013070,0.014180,0.012644,
0.929860,0.012719,0.010771,0.012721,0.013800,0.012304,
0.931864,0.012366,0.010472,0.012371,0.013421,0.011965,
0.933868,0.012013,0.010173,0.012021,0.013041,0.011625,
0.935872,0.011660,0.009874,0.011671,0.012661,0.011285,
0.937876,0.011307,0.009575,0.011321,0.012280,0.010945,
0.939880,0.010954,0.009275,0.010970,0.011900,0.010605,
0.941884,0.010601,0.008976,0.010619,0.011518,0.010265,
0.943888,0.010248,0.008677,0.010268,0.011137,0.009924,
0.945892,0.009894,0.008378,0.009916,0.010756,0.009583,
0.947896,0.009541,0.008079,0.009564,0.010374,0.009242,
0.949900,0.009188,0.007780,0.009212,0.009992,0.008901,
0.951904,0.008835,0.007480,0.008860,0.009609,0.008560,
0.953908,0.008481,0.007181,0.008507,0.009227,0.008219,
0.955912,0.008128,0.006882,0.008154,0.008844,0.007877,
0.957916,0.007775,0.006583,0.007801,0.008461,0.007536,
0.959920,0.007422,0.006284,0.007448,0.008078,0.007194,
0.961924,0.007068,0.005984,0.007095,0.007694,0.006852,
0.963928,0.006715,0.005685,0.006741,0.007311,0.006510,
0.965932,0.006362,0.005386,0.006387,0.006927,0.006168,
0.967936,0.006008,0.005087,0.006033,0.006543,0.005826,
0.969940,0.005655,0.004788,0.005679,0.006159,0.005484,
0.971944,0.005301,0.004488,0.005325,0.005775,0.005142,
0.973948,0.004948,0.004189,0.004971,0.005390,0.004799,
0.975952,0.004595,0.003890,0.004616,0.005006,0.004457,
0.977956,0.004241,0.003591,0.004262,0.004621,0.004114,
0.979960,0.003888,0.003292,0.003907,0.004237,0.003772,
0.981964,0.003534,0.002992,0.003552,0.003852,0.003429,
0.983968,0.003181,0.002693,0.003197,0.003467,0.003086,
0.985972,0.002828,0.002394,0.002842,0.003082,0.002743,
0.987976,0.002474,0.002095,0.002487,0.002697,0.002401,
0.989980,0.002121,0.001795,0.002132,0.002312,0.002058,
0.991984,0.001767,0.001496,0.001777,0.001926,0.001715,
0.993988,0.001414,0.001197,0.001421,0.001541,0.001372,
0.995992,0.001060,0.000898,0.001066,0.001156,0.001029,
0.997996,0.000707,0.000598,0.000711,0.000771,0.000686,
1.000000,0.000353,0.000299,0.000355,0.000385,0.000343,
